what,kind,bundleId,bundleVersion,description,time
started,bundle,com.android.ide.eclipse.traceview,10.0.0.v201102162101-104271,"com.android.ide.eclipse.traceview",1303585496078
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303585496305
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1303585496406
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1303585496417
error,log,,,"Unable to read /AndroidManifest.xml: java.io.FileNotFoundException: /AndroidManifest.xml (No such file or directory)",1303585498027
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1303585498051
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1303585498060
error,log,,,"Unable to read /AndroidManifest.xml: java.io.FileNotFoundException: /AndroidManifest.xml (No such file or directory)",1303585498062
error,log,,,"Unhandled event loop exception",1303585502576
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303585513124
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303585520031
error,log,,,"Unhandled event loop exception",1303585521112
error,log,,,"Unhandled event loop exception",1303585521116
error,log,,,"Unhandled event loop exception",1303585525699
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303585539359
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1303585553394
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303585553946
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303585582701
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303585585198
error,log,,,"Unhandled event loop exception",1303585586587
error,log,,,"Unhandled event loop exception",1303585586590
error,log,,,"Unhandled event loop exception",1303585591784
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303585593295
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1303585597616
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1303585597863
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1303585597881
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1303585597971
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1303585597980
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1303585598005
